T,L,M,absM,E,M2,E2
1.80000000,16,0.95812500,0.95812500,-1.86218750,0.91870422,3.47291382
2.00000000,16,0.91519531,0.91519531,-1.74792969,0.83978088,3.06616150
2.20000000,16,0.76951172,0.76951172,-1.53085938,0.62144455,2.37367432
2.40000000,16,-0.03054688,0.57417969,-1.29011719,0.38250092,1.69844055
2.60000000,16,0.02208984,0.30826172,-1.04164063,0.13882675,1.11185669
2.80000000,16,-0.05570312,0.21710937,-0.90878906,0.06922394,0.83975769
3.00000000,16,-0.04425781,0.16546875,-0.82453125,0.04338318,0.69381104
3.20000000,16,0.02820312,0.15531250,-0.74425781,0.03738495,0.56590149
3.40000000,16,0.01699219,0.13472656,-0.68199219,0.02764923,0.47670105
1.80000000,32,0.95611328,0.95611328,-1.85573242,0.91435318,3.44518383
2.00000000,32,0.91390625,0.91390625,-1.75138672,0.83606571,3.07005371
2.20000000,32,0.79962891,0.79962891,-1.55526367,0.64360365,2.42453472
2.40000000,32,0.14192383,0.25392578,-1.20286133,0.10703733,1.45499561
2.60000000,32,0.01398926,0.17180176,-1.03949219,0.04208781,1.08617027
2.80000000,32,-0.00755371,0.10853027,-0.90471680,0.01714709,0.82204678
3.00000000,32,0.00966797,0.08253906,-0.81296875,0.01089884,0.66452911
3.20000000,32,-0.00245117,0.07349609,-0.74352539,0.00881626,0.55640667
3.40000000,32,0.01176270,0.06303223,-0.68885742,0.00616805,0.47761822
